0,1
8771123,8776207
8770010,8773062
8771100,8776208
8770431,8773491
8771289,8776389
8771084,8776192
8772008,8773620
8771110,8776202
8770651,8775751
8771202,8775806
8765600,8773341
8771095,8773563
8770545,8773581
8770800,8775884
8771168,8776220
8765864,8773621
8771280,8776300
8771237,8776329
8771172,8776264
8771268,8776296
8769940,8772920
8770806,8775898
8770483,8773519
8770929,8776013
8771088,8773548
8771337,8776021
8771285,8776313
8770433,8772989
8766496,8777736
8771078,8773546
8770537,8773557
8770364,8773424
8770903,8775931
8771166,8776274
8770774,8775802
8770485,8773529
8771239,8776331
8771136,8773564
8771403,8776471
8771335,8776363
8770783,8775891
8771206,8776234
8771089,8773549
8771179,8776247
8772608,8773628
8770629,8773097
8771095,8773563
8771129,8776229
8770518,8773498
8770904,8776004
8770781,8775889
8769908,8772952
8770464,8773084
8770625,8773053
8772905,8776565
8772865,8776445
8769996,8773056
8770777,8775877
8766498,8777738
8771108,8776200
8770686,8775794
8771247,8776355
8770538,8773558
8770683,8775783
8771317,8776409
8770761,8775829
8771109,8776201
8771375,8776483
8771167,8776275
8770837,8775865
8771147,8776215
8771350,8776378
8771364,8776456
8771204,8776232
8771268,8776296
8719989,8774233
8770808,8775908
8770676,8775768
8771271,8776299
8770917,8776009
8771152,8773612
8771262,8776370
8770039,8773083
8770680,8775780
8770470,8773514
8769830,8772874
8770020,8773064
8771427,8776479
8770482,8773518
8771135,8776243
8770616,8775716
8765728,8773469
8771126,8776218
8771202,8775806
8766504,8777761
8771114,8775798
8771259,8776359
8719485,8773745
8771128,8776228
8766752,8777997
8772905,8776565
8771184,8776268
8770800,8775884
8770328,8773380
8771511,8776603
8771324,8776432
8771272,8776340
8771303,8776395
8769946,8772998
8771271,8776299
8770018,8773022
8772739,8776319
8771132,8776240
8770446,8773506
8769988,8772968
8771144,8776212
8771319,8776411
8769869,8772929
8771225,8776325
8770477,8773537
8771130,8776230
8770675,8775759
8771200,8775804
8770887,8775915
8771199,8776307
8772769,8776413
8771519,8776627
8771301,8776393
8770507,8773527
8771206,8776234
8766752,8778057
8771167,8776275
8770772,8775800
8770644,8773112
8770611,8775695
8771540,8776568
8766506,8777826
8770663,8775755
8770686,8775794
8770849,8774493
8770449,8773421
8771264,8776252
8771151,8776259
8770592,8774236
8770346,8772982
8770735,8775843
8771146,8776214
8765698,8773375
8771292,8776400
8771220,8776248
8772000,8773596
8770491,8773543
8766466,8773631
8771237,8776329
8770361,8773413
8770441,8773077
8770287,8773347
8769935,8772995
8771106,8775774
8770878,8775986
8771149,8776257
8770675,8775759
8770780,8775888
8770646,8773114
8771292,8776400
8766728,8777989
8770629,8773097
8769915,8772967
8766506,8777763
8771218,8776238
8771192,8776292
8765696,8773373
8770459,8773511
8770488,8773540
8771104,8775772
8771179,8776247
8772619,8776279
8771302,8776394
8765864,8773621
8771138,8773566
8771147,8776215
8771410,8776430
8771274,8776342
8771473,8776493
8771078,8773546
8771140,8773608
8770449,8773421
8770652,8775760
8766632,8777892
8770892,8776000
8771228,8776336
8770789,8775881
8770327,8773307
8771122,8776206
8771309,8776417
8770528,8773532
8770788,8775880
8770007,8772987
8770346,8772982
8771236,8776328
8771429,8776521
8770396,8773456
8771235,8775903
8771212,8776320
8771340,8776448
8769948,8773008
8770461,8773521
8771288,8776388
8771349,8776377
8770460,8773520
8770555,8773607
8771254,8776346
8770418,8773454
8771181,8776289
8770707,8775727
8771092,8773560
8770920,8775988
8766632,8777904
8770356,8773400
8770712,8775812
8770469,8773513
8771237,8776329
8771208,8775892
8771261,8776369
8765736,8773493
8771195,8776295
8770756,8775784
8766722,8777962
8720255,8774515
8770906,8776006
8771302,8776394
8770453,8773433
8771174,8776266
8769916,8772976
8771245,8776353
8769781,8772825
8770499,8773439
8770264,8773316
8771159,8773627
8771530,8776598
8769745,8772717
8770773,8775801
8766624,8777944
8772617,8776277
8770511,8773571
8771194,8776294
8771129,8776229
8771235,8775903
8771260,8776368
8771225,8776325
8765858,8773599
8770802,8775886
8771090,8773550
8770361,8773413
8771208,8775892
8771090,8773550
8766466,8773631
8770811,8775911
8771218,8776238
8770779,8775879
8771193,8776293
8770605,8775713
8770419,8773455
8770468,8773512
8771208,8775892
8770010,8773062
8766464,8773629
8765864,8773621
8771192,8776292
8770434,8772990
